schema,table,rows_exact,rows_est,classification,seeded,seed_source,origin,retention,retention_reason,description,notes,has_pii,pii_columns,column_count,size_bytes
public,adminauditlog,0,0,AUDIT_PROD,NO,,SYSTEM_GENERATED,Keep forever,Legal/compliance requirement for financial audit trail,Adminauditlog table (12 columns),PII: ip_address,YES,ip_address,12,57344
public,adminnote,0,0,OPERATIONAL_PROD,NO,,SYSTEM_GENERATED,30 days,"Runtime metadata, safe to purge periodically",Adminnote table (5 columns),PII: admin_name,YES,admin_name,5,24576
public,alembic_version,1,0,OPERATIONAL_PROD,NO,,SYSTEM_GENERATED,30 days,"Runtime metadata, safe to purge periodically",Database migration version tracking,,NO,,1,24576
public,billingledger,0,0,AUDIT_PROD,NO,,SYSTEM_GENERATED,Keep forever,Legal/compliance requirement for financial audit trail,Billingledger table (31 columns),"PII: token_usage_json, fee_tokens_applied",YES,"token_usage_json, fee_tokens_applied",31,73728
public,canonicalproblem,0,0,OPERATIONAL_PROD,NO,,SYSTEM_GENERATED,30 days,"Runtime metadata, safe to purge periodically",Canonicalproblem table (15 columns),,NO,,15,32768
public,canonicalsolution,0,0,OPERATIONAL_PROD,NO,,SYSTEM_GENERATED,30 days,"Runtime metadata, safe to purge periodically",Canonicalsolution table (10 columns),,NO,,10,24576
public,chatmessage,521,366,OPERATIONAL_PROD,NO,,USER_GENERATED,30 days,"Runtime metadata, safe to purge periodically",Chatmessage table (13 columns),PII: tokens_used,YES,tokens_used,13,1122304
public,chatsession,270,193,ESSENTIAL_PROD,NO,,USER_GENERATED,Keep forever,Core production data,Chatsession table (11 columns),,NO,,11,122880
public,credithold,0,0,ESSENTIAL_PROD,NO,,SYSTEM_GENERATED,Keep forever,Core production data,Credithold table (10 columns),,NO,,10,98304
public,creditlot,617,617,ESSENTIAL_PROD,NO,,SYSTEM_GENERATED,Keep forever,Core production data,Creditlot table (18 columns),,NO,,18,352256
